[2022-01-08T16:57:32.530Z] info Ruta no encontrada.
[2022-01-08T16:59:14.114Z] info Ruta no encontrada.
[2022-01-08T17:07:14.296Z] info Ruta no encontrada.
[2022-01-08T17:21:17.585Z] info Ruta no encontrada.
[2022-01-08T17:25:13.710Z] info Ruta no encontrada.
[2022-01-08T17:27:26.498Z] info Ruta no encontrada.
[2022-01-08T17:27:26.650Z] info Ruta no encontrada.
[2022-01-08T17:27:45.996Z] info Ruta no encontrada.
[2022-01-08T17:29:52.933Z] info Ruta no encontrada.
[2022-01-08T17:31:59.795Z] info Ruta no encontrada.
[2022-01-08T17:32:24.111Z] info Ruta no encontrada.
[2022-01-08T17:32:46.322Z] info Ruta no encontrada.
[2022-01-08T17:32:57.452Z] info Ruta no encontrada.
[2022-01-08T17:33:20.880Z] info Ruta no encontrada.
[2022-01-08T17:34:08.167Z] info Ruta no encontrada.
[2022-01-08T17:34:48.484Z] info Ruta no encontrada.
[2022-01-08T17:35:18.313Z] info Ruta no encontrada.
[2022-01-08T17:38:45.425Z] info Ruta no encontrada.
[2022-01-08T17:41:26.123Z] info [object Object]
[2022-01-23T23:51:20.892Z] info Ruta no encontrada.
[2022-01-23T23:51:57.339Z] info Ruta no encontrada.
[2022-01-25T01:39:47.973Z] info Ruta no encontrada.
[2022-01-25T01:40:59.098Z] info Ruta no encontrada.
[2022-11-02T23:14:00.865Z] info Ruta no encontrada.
[2022-11-02T23:14:10.807Z] info Ruta no encontrada.
[2022-11-02T23:16:32.190Z] info Ruta no encontrada.
[2022-11-02T23:21:23.185Z] info Ruta no encontrada.
[2022-11-02T23:21:56.892Z] info Ruta no encontrada.
[2022-11-02T23:28:50.870Z] info Ruta no encontrada.
[2022-11-02T23:28:55.737Z] info Ruta no encontrada.
[2022-11-03T19:30:53.022Z] info Ruta no encontrada.
[2022-11-03T20:32:48.276Z] info Ruta no encontrada.
[2022-11-03T20:36:17.482Z] info Ruta no encontrada.
[2022-12-14T20:22:34.827Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:22:34.844Z] info Configuracion - getMedicamento Error: TypeError: Cannot read properties of undefined (reading 'query')
[2022-12-14T20:22:34.851Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:22:34.854Z] info Configuracion - getExamen Error: TypeError: Cannot read properties of undefined (reading 'query')
[2022-12-14T20:25:04.499Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:25:04.523Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:25:04.589Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:25:04.610Z] info Configuracion - getExamen Terminado
[2022-12-14T20:26:18.184Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:26:18.193Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:26:18.217Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:26:18.245Z] info Configuracion - getExamen Terminado
[2022-12-14T20:28:09.271Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:28:09.283Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:28:09.304Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:28:09.311Z] info Configuracion - getExamen Terminado
[2022-12-14T20:28:48.604Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:28:48.615Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:28:48.620Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:28:48.646Z] info Configuracion - getExamen Terminado
[2022-12-14T20:29:05.183Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:29:05.185Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:29:05.201Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:29:05.218Z] info Configuracion - getExamen Terminado
[2022-12-14T20:29:23.291Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:29:23.295Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:29:23.310Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:29:23.313Z] info Configuracion - getExamen Terminado
[2022-12-14T20:30:25.050Z] info Configuracion - getMedicamento Iniciando
[2022-12-14T20:30:25.064Z] info Configuracion - getExamen Iniciando
[2022-12-14T20:30:25.075Z] info Configuracion - getMedicamento Terminado
[2022-12-14T20:30:25.107Z] info Configuracion - getExamen Terminado
[2022-12-14T20:31:10.351Z] info Configuracion - getMedicamento Iniciando
